MD,INC,AZI,TVDKB
18,0.3,0,18
38,0.5,0,38
57,1.5,0,57
84,1.8,0,84
104,0.5,0,104
132,1.8,0,132
161,2.5,0,161
190,3,0,190
218,2.8,0,218
247,2.8,0,247
276,2.5,0,275
334,3.5,0,334
363,3,0,363
392,3,0,392
421,2.8,0,421
451,2.8,0,451
459.8,3.8,2.6,459.7
479,3.7,358.3,478.9
498.2,3.5,350.7,498.1
517.4,3,342.3,517.3
536.6,3.6,331.3,536.5
546.3,4.1,328.3,546.1
555.9,3.8,327,555.7
565.6,2.4,320,565.4
584.8,1.1,305.7,584.6
604,2.5,332.2,603.8
613.7,3.3,337.1,613.4
623.4,2.7,330.5,623.1
633.1,3,306.8,632.8
642.7,4.3,295.5,642.4
652.4,5.9,289.1,652.1
662.1,7.4,282.1,661.7
671.7,8.3,272.3,671.2
681.2,7.3,265.5,680.7
690.8,6.1,256.3,690.2
700.5,4.6,249.4,699.8
710.1,3.1,240.6,709.4
719.8,2.1,232,719.1
738.9,0.9,139.1,738.2
758.2,0.9,63,757.5
777.4,1.4,190,776.7
796.6,1.5,330.5,795.9
815.8,1.7,307.7,815
835,0.3,104.6,834.2
854.2,1.8,129,853.5
873.5,0.9,81.6,872.8
892.7,1.8,18.5,892
911.9,2,0.2,911.2
931.1,1.6,335.1,930.4
950.3,1.3,339.3,949.5
957.2,1.3,340.2,956.4
966.9,1.9,338.9,966.1
986.3,1.8,5,985.5
1005.5,1.5,47.5,1004.7
1024.8,0.8,154.8,1024
1044,1.5,176.3,1043.2
1063.2,1.1,148.6,1062.4
1082.4,1.3,108.6,1081.5
1101.4,2.7,80.2,1100.6
1111.2,3.3,73,1110.3
1122,3.5,66.2,1121.1
1131.6,3.6,59.4,1130.7
1141.3,3.6,49.9,1140.4
1150.7,3.9,41.4,1149.8
1160.4,4,27,1159.5
1169.2,3.9,18.5,1168.2
1178.8,3.9,11.8,1177.8
1188.5,2.9,356,1187.5
1198,2.1,322,1197
1207.7,2,302.8,1206.7
1217.3,1.4,311.6,1216.3
1226.9,0.9,37.8,1225.9
1236.6,1.2,83.9,1235.6
1255.9,0.4,207.6,1254.9
1275.1,1.5,334,1274.1
1284.7,1.9,354,1283.7
1294.3,1.5,351.5,1293.3
1303.9,1,333.7,1302.9
1323.1,2.4,285.3,1322.1
1332.8,2.5,289.3,1331.7
1342.4,1.6,292,1341.4
1361.6,0.8,196.8,1360.5
1371.2,1.3,241.9,1370.1
1380.8,2,267.4,1379.7
1390.5,2,294.3,1389.5
1400.1,1.8,307,1399.1
1409.8,1.3,291.3,1408.8
1429.1,3.8,134,1428
1438.7,4.9,133.3,1437.6
1448.3,4.1,148.9,1447.2
1467.6,3.9,198.9,1466.4
1477.2,3.8,202.1,1476
1486.8,2.8,177.6,1485.6
1496.5,2.6,146.6,1495.3
1506.1,2.7,119.8,1504.9
1515.8,2.8,102.7,1514.5
1525.4,1.4,116,1524.1
1535,1.3,233.7,1533.7
1544.6,2.1,247.1,1543.3
1554.2,2.5,249.7,1552.9
1563.8,2.5,256.5,1562.5
1573.4,2,264.5,1572.1
1582.9,0.8,288.8,1581.6
1602.2,0.4,135.3,1600.9
1621.3,0.2,136.9,1620
1640.5,0.6,325.4,1639.2
1659.7,1.3,320.8,1658.4
1669.4,1.1,319.4,1668.1
1678.9,0.7,319.9,1677.6
1688.7,0.7,311.2,1687.4
1695.2,0.7,310.9,1693.9
1704.8,0.9,306.6,1703.5
1724,0.9,318.8,1722.7
1743.2,1,345.3,1741.9
1771.8,1.6,356.3,1770.5
1791,1.2,352.9,1789.7
1810.3,1.5,342.8,1808.9
1829.5,1.8,343.7,1828.13
1839.1,1.8,349.9,1837.79
1848.8,1.4,358.5,1847.49
1858.4,0.7,12,1857.09
1877.7,0.8,19.8,1876.3
1896.9,2,11,1895.55
1906.5,2.1,17.4,1905.15
1916.2,2.2,29,1914.79
1925.8,2.1,35.2,1924.43
1935.4,1.6,44.2,1934.02
1945.1,1.1,48,1943.75
1954.8,1.1,43.3,1953.37
1973.9,1.6,36,1972.51
1983.5,1.9,36.3,1982.15
1993.2,1.8,43.2,1991.79
2002.7,1.2,48.1,2001.33
2022,1.1,20.5,2020.64
2041.2,2.2,25.3,2039.79
2050.8,2.2,32.3,2049.37
2060.4,1.6,38.8,2058.95
2079.6,1.5,27.6,2078.12
2098.7,2,19.3,2097.22
2108.3,2,29.8,2106.87
2118,1.7,47.1,2116.51
2127.6,1.4,52,2126.11
2146.2,1.1,88.2,2144.72
2155.8,1,100.2,2154.32
2175.1,0.6,321.8,2173.64
2194.4,0.8,337,2192.93
2213.6,0.9,333.1,2212.14
2232.8,1,344.3,2231.34
2252.1,1.1,356.8,2250.58
2271.3,1,9.8,2269.84
2290.5,1,23.3,2289.02
2319.3,1,39.3,2317.83
2348.1,0.8,57.1,2346.62
2377.1,0.9,88,2375.59
2405.9,0.9,112.7,2404.41
2434.6,1.4,124.7,2433.1
2454,1.1,172.2,2452.54
2473.4,1.1,167.6,2471.86
2492.6,1.1,122.8,2491.09
2511.8,0.3,175.6,2510.28
2540.7,0.9,168.8,2539.16
2560,1.3,156,2558.45
2579.3,1.6,144.2,2577.78
